"id","category","feed_url","last_processed_date","rss_type","source_name","status"
"136","ecommerce","https://rss.app/feeds/v1.1/Ndo5vg3oHCXCIIH9.json","2024-11-19T06:01:32.572793+00:00","rss.app","vogue.fr","enabled"
"133","ecommerce","https://rss.app/feeds/v1.1/ZlRjV0FWNi37ZdKo.json","2024-11-19T06:01:04.934003+00:00","rss.app","Glamour.de","enabled"
"116","ecommerce","https://rss.app/feeds/v1.1/E2ldDmAXUQl8SbZd.json","2024-11-19T06:00:41.557652+00:00","rss.app","retailweek","enabled"
